parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75220028,"Okra, cooked, from fresh, made with butter",11279,"Okra, cooked, boiled, drained, without salt",160
75220029,"Okra, cooked, from fresh, made with margarine",2047,"Salt, table",1
75220029,"Okra, cooked, from fresh, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75220029,"Okra, cooked, from fresh, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75220029,"Okra, cooked, from fresh, made with margarine",11279,"Okra, cooked, boiled, drained, without salt",160
75221001,"Onions, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1
75221001,"Onions, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75221001,"Onions, cooked, from fresh, NS as to fat added in cooking",11283,"Onions, cooked, boiled, drained, without salt",210
75221017,"Onions, cooked, from fresh, made with oil",2047,"Salt, table",1
75221017,"Onions, cooked, from fresh, made with oil",4322,"Vegetable oil, averaged",4.542
75221017,"Onions, cooked, from fresh, made with oil",11283,"Onions, cooked, boiled, drained, without salt",210
75221018,"Onions, cooked, from fresh, made with butter",1001,"Butter, salted",4.729
75221018,"Onions, cooked, from fresh, made with butter",2047,"Salt, table",1
75221018,"Onions, cooked, from fresh, made with butter",11283,"Onions, cooked, boiled, drained, without salt",210
75221019,"Onions, cooked, from fresh, made with margarine",2047,"Salt, table",1
75221019,"Onions, cooked, from fresh, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75221019,"Onions, cooked, from fresh, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75221019,"Onions, cooked, from fresh, made with margarine",11283,"Onions, cooked, boiled, drained, without salt",210
75221031,"Onions, pearl, cooked, from fresh",2047,"Salt, table",1
75221031,"Onions, pearl, cooked, from fresh",11283,"Onions, cooked, boiled, drained, without salt",210
75221041,"Onions, green, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",0.6
75221041,"Onions, green, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",3.2
75221041,"Onions, green, cooked, from fresh, NS as to fat added in cooking",11291,"Onions, spring or scallions (includes tops and bulb), raw",100
75221051,"Onions, green, cooked, from fresh, fat not added in cooking",2047,"Salt, table",1
75221051,"Onions, green, cooked, from fresh, fat not added in cooking",11291,"Onions, spring or scallions (includes tops and bulb), raw",100
75223001,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1
75223001,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75223001,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from fresh, NS as to fat added in cooking",11196,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",170
